"","Species","NewWorld","Detected","score"
"117","Culex sitiens",FALSE,FALSE,0.099
"118","Culex spissipes",TRUE,FALSE,0.019
"119","Culex squamosus",FALSE,FALSE,0.003
"120","Culex taeniopus",TRUE,FALSE,0.084
"121","Culex tarsalis",TRUE,TRUE,0.125
"122","Culex telesilla",FALSE,TRUE,0.05
"123","Culex thalassius",FALSE,TRUE,0.481
"124","Culex theileri",FALSE,FALSE,0.105
"125","Culex tritaeniorhynchus",FALSE,TRUE,0.217
"126","Culex univittatus",FALSE,TRUE,0.115
"127","Culex virgultus",TRUE,FALSE,0.013
"128","Culex vishnui",FALSE,TRUE,0.041
"129","Culex vomerifer",TRUE,FALSE,0.021
"130","Culex weschei",FALSE,TRUE,0.047
"131","Culex whitmorei",FALSE,FALSE,0.035
"132","Culex zombaensis",FALSE,TRUE,0.085
"133","Culiseta alaskaensis",TRUE,FALSE,0.004
"134","Culiseta impatiens",TRUE,FALSE,0.046
"135","Culiseta inorata",TRUE,TRUE,0.028
"136","Culiseta melanura",TRUE,TRUE,0.035
"137","Deinocerites pseudes",TRUE,FALSE,0.063
"138","Eretmapodites chrysogaster",FALSE,TRUE,0.117
"139","Eretmapodites inornatus",FALSE,TRUE,0.101
"140","Eretmapodites oedipodeios",FALSE,FALSE,0.088
"141","Eretmapodites quinquevittatus",FALSE,TRUE,0.216
"142","Eretmapodites silvestris",FALSE,FALSE,0.058
"143","Ficalbia flavens",FALSE,FALSE,0.017
"144","Haemagogus anastasionis",TRUE,TRUE,0.081
"145","Haemagogus celeste",TRUE,TRUE,0.091
"146","Haemagogus equinus",TRUE,TRUE,0.078
"147","Haemagogus janthinomys",TRUE,TRUE,0.042
"148","Haemagogus leucocelaenus",TRUE,TRUE,0.025
"149","Haemagogus spegazzinii",TRUE,TRUE,0.024
"150","Mansonia septempunctata",FALSE,FALSE,0.002
"151","Mansonia titillans",TRUE,FALSE,0.056
"152","Mansonia uniformis",FALSE,TRUE,0.136
"153","Mansonia africana",FALSE,TRUE,0.108
"154","Mimomyia hispida",FALSE,TRUE,0.197
"155","Mimomyia lacustris",FALSE,TRUE,0.059
"156","Mimomyia splendens",FALSE,TRUE,0.151
"157","Aedes canadensis",TRUE,TRUE,0.029
"158","Aedes cantator",TRUE,TRUE,0.038
"159","Aedes japonicus",TRUE,FALSE,0.015
"160","Aedes sollicitans",TRUE,TRUE,0.019
"161","Aedes tremulus",FALSE,FALSE,0.021
"162","Aedes trivittatus",TRUE,TRUE,0.046
"163","Orthopodomyia signifera",TRUE,TRUE,0.091
"164","Psorophora albipes",TRUE,FALSE,0.009
"165","Psorophora columbiae",TRUE,TRUE,0.026
"166","Psorophorra ferox",TRUE,FALSE,0.044
"167","Runchomyia frontosa",TRUE,TRUE,0.014
"168","Sabethes albiprivus",TRUE,TRUE,0.011
"169","Sabethes belisarioi",TRUE,FALSE,0.015
"170","Sabethes chloropterus",TRUE,TRUE,0.028
"171","Sabethes soperi",TRUE,TRUE,0.013
"172","Uranotaenia mashonaensis",FALSE,FALSE,0.088
"173","Uranotaenia sapphirina",TRUE,TRUE,0.028
"174","Uranotaenia unguiculata",FALSE,FALSE,0.011
