Species,ALFV,BAGV,BANV,BOUV,BSQV,DENV1,DENV2,DENV3,DENV4,EHV,IGUV,ILHV,ITV,JEV,JUGV,KEDV,KOKV,KOUV,KUNV,MVEV,NJLV,NMV,NTAV,ROCV,SABV,SEPV,SLEV,SPOV,STRV,TMUV,UGSV,USUV,WESSV,WNV,YAOV,YFV,ZIKV
Culex annulirostris,1,,,,,,,,,1,,,,4,,,1,,1,4,,1,,,,,,,1,,,,,1,,,
Culex antennatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,
Culex australicus,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
Culex bahamensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Culex bitaeniorhynchus,,,,,,,,,,,,,,4,,,,,,4,,,,,,,,,,,,,,,,,
Culex caudelli,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Culex coronator,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Culex crybda,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culex epidesmus,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
Culex duttoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
Culex fatigans,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,
Culex fuscocephala,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
Culex gelidus,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,1,,,,,,,
Culex guiarti,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,4,,1,,
Culex modestus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Culex nakuruensis,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culex neavei,,,4,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,4,,,
Culex nebulosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Culex nigripalpus,,,,,,,,,,,,,,,,,,,,,,,,0,,,4,,,,,,,4,,,
Culex p. molestus,,,,,,,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,4,,,
Culex perexiguus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Culex perfuscus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,1,,
Culex pipiens,,,4,,,,,,,,,,,4,,,,,,,,,,4,,,4,,,1,,,,4,,,
Culex poicilipes,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culex pruina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Culex pseudovishnui,,,,,,,,,,,,,,4,,,,,1,,,,,,,,,,,1,,,,,,,
Culex pullus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culex quinquefasciatus,2,,4,,2,,,,,,3,,,4,,,4,,4,4,,,2,4,,,4,,4,,,,4,4,,,
Culex restuans,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,4,,,
Culex rubinotus,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culex salinarius,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,2,,,4,,,
Culex sitiens,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,
Culex spissipes,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Culex squamosus,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Culex taeniopus,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Culex tarsalis,,,,,,,,,,,,,,4,,,,,,,,,2,4,,,4,,,,2,,,4,,,
Culex telesilla,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,4,,1,,
Culex thalassius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Culex theileri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Culex tritaeniorhynchus,,4,,,,,,0,,,,,,4,,,,,,,,,,,,,,,,1,,,4,1,,,
Culex univittatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,
Culex virgultus,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Culex vishnui,,,,,,,,,,,,,,4,,,,,1,,,,,,,,,,,1,,,,4,,,
Culex vomerifer,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culex weschei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Culex whitmorei,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Culex zombaensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
Culiseta alaskaensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Culiseta impatiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Culiseta inorata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Culiseta melanura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Deinocerites pseudes,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Eretmapodites chrysogaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Eretmapodites inornatus,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Eretmapodites oedipodeios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Eretmapodites quinquevittatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Eretmapodites silvestris,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Ficalbia flavens,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Haemagogus anastasionis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Haemagogus celeste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Haemagogus equinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Haemagogus janthinomys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Haemagogus leucocelaenus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Haemagogus spegazzinii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Mansonia septempunctata,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Mansonia titillans,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mansonia uniformis,,,4,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,4,,,,4
Mansonia africana,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,4,,,,
Mimomyia hispida,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimomyia lacustris,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimomyia splendens,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aedes canadensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Aedes cantator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Aedes japonicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Aedes sollicitans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Aedes tremulus,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Aedes trivittatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Orthopodomyia signifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Psorophora albipes,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Psorophora columbiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Psorophorra ferox,,,,,,,,,,,,4,,,,,,,,,,,,4,,,1,,,,,,,,,,
Runchomyia frontosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Sabethes albiprivus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Sabethes belisarioi,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Sabethes chloropterus,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4,
Sabethes soperi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Uranotaenia mashonaensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uranotaenia sapphirina,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,,,
Uranotaenia unguiculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
